id,caption,schema,taxNumber,innCode,russian_alias_1,russian_alias_2,russian_alias_3,russian_alias_4,russian_alias_5,russian_alias_6,russian_alias_7,russian_alias_8,russian_alias_9,russian_alias_10,russian_alias_11,russian_alias_12,russian_alias_13,russian_alias_14,russian_alias_15,russian_alias_16,russian_alias_17,russian_alias_18,russian_alias_19,russian_alias_20,russian_alias_21,russian_alias_22,russian_alias_23,russian_alias_24
NK-9uZTkmiQgD83dpq6pKAFKo,Joint Stock Company Izhevsk Electromechanical Plant Kupol,Company,1831083343,1831083343,"открытое акционерное общество ""ижевский электромеханический завод ""купол""",акционерное общество «ижевский электромеханический завод «купол»,купол (ижевский электромеханический завод 'купол'),акционерное общество ижевский электромеханический завод купол,ижевский электромеханическ ий завод ‘купол’,ао иэмз купол,ижевский электромеханический завод “купол”,"акционерное общество ""ижевский электромеханический завод ""купол""",,,,,,,,,,,,,,,,
NK-jfrH4ETpD8SHfMk6KQqKjD,Joint Stock Company North Western Regional Center of Almaz Antey Concern Obukhovsky Plant,Company,7811144648,7811144648,ао “северо-западный региональный центр концерна вко ‘алмаз- антей’- обуховский завод”,ао “северо-западный региональный центр концерна вко ‘алмаз-антей’- обуховский завод”,акционерное общество «северо-западный региональный центр концерна вко «алмаз -антей» - обуховский завод»,ао “обуховский завод”,"акционерное общество ""северо-западный региональный центр концерна вко ""алмаз-антей"" - обуховский завод""",акционерное общество «северо-западный региональный центр концерна вко «алмаз-антей» - «обуховский завод»,"акционерное общество ""северо-западный региональный центр концерна вко ""алмаз-антей""- обуховский завод""",аo “северо-западный региональный центр концерна вко “алмаз- антей”- обуховский завод”,,,,,,,,,,,,,,,,
NK-MawpPjvNoBqwa8ts2wxBHv,JSC Zelenodolsk Shipyard,Company,1648013442,1648013442,ао “зеленодольский завод имени а. м. горького”,оао зеленодольский завод им. а.м. горького,"открытое акционерное общество ""зеленодольский завод имени ""а.м. горького""",ао зеленодольский завод имени а.м. горького,акционерное общество «зеленодольский завод имени а.м. горького»,ao зеленодольский завод имени а. м. горького,"акционерное общество ""зеленодольский завод имени а.м. горького""",открытое акционерное общество зеленодольский завод имени а.м. горького,,,,,,,,,,,,,,,,
NK-FkJ4b6ZSNNRRTHqf5Pduxp,Yantar Shipyard,Company,3900000111,3900000111,"акционерное общество ""прибалтийский судостроительный завод ""янтарь""","открытое акционерное общество ""прибалтийский судостроительный завод""","открытое акционерное общество ""прибалтийский судостроительный завод ""янтарь""",акционерное общество «прибалтийский судостроительный завод «янтарь»,"открытое акционерное ""прибалтийский судостроительный завод ""янтарь""",прибалтийский судостроительный завод “янтарь”,ао прибалтийский судостроительный завод янтарь,,,,,,,,,,,,,,,,,
NK-j3dcAoWzeEq8vwoe4qqdhA,Joint Stock Company “Central Research Institute of Materials Named After D.I. Mendeleev”,Company,,7842436263,"акционерное общество ""центральный научно-исследовательский институт материалов имени д.и.менделеева""",акционерное общество “центральный научно-исследовательский институт материалов имени д.и. менделеева”,акционерное общество “центральный научно- исследовательский институт материалов имени д.и. менделеева”,акционерное общество “центральный научно- исследовательский институт материалов”,центральный научно-исследовательский институт материалов,"акционерное общество ""центральный научно- исследовательский институт материалов""","акционерное общество ""центральный научно-исследовательский институт материалов""",акционерное общество “центральный научно-исследовательский институт материалов”,,,,,,,,,,,,,,,,
NK-84yK552zPPXpEoHME5heqk,JOINT STOCK COMPANY FEDERAL SCIENTIFIC AND PRODUCTION CENTER TITAN BARRIKADY,Company,3442110950,3442110943,ао федеральный научно- производственный центр “титан-баррикады”,"акционерное общество ""федеральный научно-производственный центр ""титан-баррикады""","открытое акционерное общество ""центральное конструкторское бюро ""титан""","акционерное общество ""федеральный научнопроизводственный центр ""титанбаррикады""",ао «федеральный научно-производственный центр «титан-баррикады»,ао федеральный научно-производственный центр титан-баррикады,ао федеральный научно- производственный центр «титан- баррикады»,,,,,,,,,,,,,,,,,
NK-apNQLgCvRDGuSKeWnYeajX,AO Ural Civil Aviation Factory,Company,6664013640,6664013640,"акционерное общество ""уральский завод гражданской авиации""","открытое акционерное общество""уральский завод гражданской авиации""","открытое акционерное общество ""уральский завод гражданской авиации""","ао ""уральский завод гражданской авиации""",акционерное общество «уральский завод гражданской авиации»,ао “уральский завод гражданской авиации”,оао уральский завод гражданской,,,,,,,,,,,,,,,,,
NK-7pySNmfKyqEL6Ksa74ynsf,Joint Stock Company Corporation Moscow Institute of Heat Technology,Company,7715842760,7715842760,московский институт теплотехники,акционерное общество “корпорация ‘московский институт теплотехники’”,акционерное общество корпорация московский институт теплотехники,акционерное общество “корпорация ‘московский институт теплотехники’” московский институт теплотехники,корпорация московский институт теплотехники,акционерное общество «корпорация «московский институт теплотехники»,"акционерное общество ""корпорация ""московский институт теплотехники""",,,,,,,,,,,,,,,,,
NK-f4LD8M3qWhKEV4jbGT4hMa,"Société publique par actions ""Usine de Krasnogorsk du nom de S.A. Zvereva""",Company,,5024022965,"открытое акционерное общество ""красногорский завод им. с.а.зверева","акционерное общество ""красногорский завод. зенит-техсервис""","открытое акционерное общество ""красногорский завод им.с.а зверева""","публичное акционерное общество ""красногорский завод им. с. а. зверева""",пао красногорский завод им. с.а. зверева,"открытое акционерное общество ""красногорский завод имени с.а.зверева""","публичное акционерное общество ""красногорский завод им. с.а. зверева""","открытое акционерное общество ""красногорский завод им с.а.зверева""",,,,,,,,,,,,,,,,
NK-ew7bLkJHRUMA9EHKTH6m4r,Tula Arms Plant,Company,7107003303,7107003303,"открытое акционерное общество ""тульский оружейный завод""",императорский тульский оружейный завод,тульский оружейный завод,публичное акционерное общество «императорский тульский оружейный завод»,"публичное акционерное общество ""императорский тульский оружейный завод""","открытое акционерное общество ""тульский оружейный завод","публичное акционерное общество ""тульский оружейный завод""",,,,,,,,,,,,,,,,,
NK-7kyY9QMMGmLek7Y6PPudHx,JSC V. Tikhomirov Scientific Research Institute of Instrument Design,Company,5013045054,5013045054,ао “научно- исследовательский институт приборостроения имени в.в. тихомирова”,"открытое акционерное общество ""научно-исследовательский институт приборостроения имени в.в. тихомирова""",научно-исследовательский институт приборостроения имени в.в. тихомирова,ао “научно- исследовательский институт приборостроения имени в.в. тихомирова,акционерное общество «научно-исследовательский институт приборостроения имени в.в. тихомирова»,ао “научно-исследовательский институт приборостроения имени в.в. тихомирова”,"акционерное общество ""научно-исследовательский институт приборостроения имени в.в. тихомирова""",,,,,,,,,,,,,,,,,
NK-UJxUc8FhY9AUdCwfMam7hT,JSC “MOSCOW RESEARCH INSTITUTE ‘AGAT’”,Company,5013044999,5013044999,"акционерное общество ""московский научно-исследовательский институт ""агат""",московский научно-исследовательский институт агат or оао мнии агат,ао “московский научно- исследовательский институт ‘агат’”,"открытое акционерное общество ""московский научно-исследовательский институт ""агат""",а о “московский научно- исследовательский институт ‘агат’”,ао “московский научно-исследовательский институт ‘агат’”,акционерное общество «московский научно-исследовательский институт «агат»,,,,,,,,,,,,,,,,,
NK-beX5kfevrqTeqgChirqc2k,Open Joint Stock Company Degtyaryov Plant,Company,3305004083,3305004083,"открытое акционерное общество ""завод имени в.а. дегтярева""","открытое акционерное общество ""завод имени в.а.дегтярева""","открытое акционерное общество ""завод им.в.а.дегтярева""","открытое акционерное общество ""завод им. в.а. дегтярева""","открытое акционерное общество ""завод им. в.а.дегтярева""","открытое акционерное общество ""завод им. дегтярева""",открытое акционерное общество ''завод им. в. а. дегтярёва'',,,,,,,,,,,,,,,,,
NK-5PcTeznFyxUb6PMta3H42r,Krylov State Scientific Center Federal State Unitary Enterprise,Company,7810213747,7810213747,цнии им. академика а.н.крылова,"федеральное государственное унитарное предприятие ""центральный научно-исследовательский институт имени академика а.н.крылова""",крыловский государственный научный центр,"федеральное государственное унитарное предприятие ""крыловский государственный научный центр""","федеральное государственное унитарное предприятие ""центральный научно-исследовательский институт имени академика а.н. крылова""",федеральное государственное унитарное предприятие «крыловский государственный научный центр»,государственный научно-исследовательский центр им.,,,,,,,,,,,,,,,,,
NK-ENxMCisBoCoU6hdLfg2y6H,A.E. Nudelman Precision Engineering Design Bureau Joint Stock Company,Company,7728789425,7728789425,ао конструкторское бюро точного машиностроения им. а. э. нудельмана (кб точмаш)],ао конструкторское бюро точного машиностроения им. а. э. нудельмана,ао конструкторское бюро точного машиностроения им. а. э. нудельмана (кб точмаш),"акционерное общество ""конструкторское бюро точного машиностроения им. а.э. нудельмана""",акционерное oбщество конструкторское бюро точного машиностроения имени а.э. нудельмана,"акционерное общество ""конструкторское бюро точного машиностроения имени а.э. нудельмана""",,,,,,,,,,,,,,,,,,
NK-T7imPMzHCj8JtX92Pc7jcA,Ulyanovsk Mechanical Plant,Company,7303026762,7303026762,ао “ульяновский механический завод”,открытое акционерное общество “ульяновский механический завод”,акционерное общество «ульяновский механический завод»,"открытое акционерное общество ""ульяновский механический завод""",ульяновский механический завод,"акционерное общество ""ульяновский механический завод""",,,,,,,,,,,,,,,,,,
NK-UDfrok9EBosKxQtFq9bwPk,Public Joint Stock Company Vympel Interstate Corporation,Company,7714041693,7714041693,"открытое акционерное общество ""межгосударственная акционерная корпорация ""вымпел""",публичное акционерное общество «межгосударственная акционерная корпорация «вымпел»,"публичное акционерное общество ""межгосударственная акционерная корпорация ""вымпел""",публичное акционерное общество «межгосударственная акционерное корпорация «вымпел»,открытое акционерное общество межгосударственная акционерная корпорация вымпел,"открытое акционерное общество межгосударственная акционерная корпорация ""вымпел""",,,,,,,,,,,,,,,,,,
NK-WmPwTyvMsgzeazp4iHG6Rw,Federal State Enterprise Perm Powder Plant,Company,5908006119,5908006119,"федеральное казенное предприятие ""пермский пороховой завод""",федеральное казенное предприятие пермский пороховой завод,федеральное казенное предприятие (фкп) пермский пороховой завод,"федеральное государственное унитарное предприятие ""пермский завод им.с.м.кирова""",федеральное казенное предприятие “пермский пороховой завод”,"федеральное государственное унитарное предприятие ""пермский завод имени с. м. кирова""",,,,,,,,,,,,,,,,,,
NK-CGtYDTj6fyNAaYkpCpCD4o,"Zavod ,Zvezda’",Company,7728171283,6913001213,"завод ‘звезда'-филиал федерального государственного унитарного предприятия ""научно- производственный центр автоматики и приборостроения имени академика н.а.пилюгина",“завод ‘звезда’-филиал федерального государственного унитарного предприятия ‘научно- производственный центр автоматики и приборостроения имени академика н.а.пилюгина’”,“завод ‘звезда’-филиал федерального государственного унитарного предприятия ‘научно-производственный центр автоматики и приборостроения имени академика н.а.пилюгина’”,"федеральное государственное унитарное предпритие ""научно-производственный центр автоматики и приборостроения имени академика н.а.пилюгина""","федеральное государственное унитарное предприятие ""научно-производственный центр автоматики и приборостроения имени академика н.а.пилюгина""","федеральное государственное унитарное предприятие ""научно-производственный центр автоматики и приборостроения им. академика н.а.пилюгина""",,,,,,,,,,,,,,,,,,
NK-WwpxW6nM8KszdkACf9jN6o,"RESEARCH DESIGN BYURO ""NOVATOR""",Company,,6673092045,акционерное общество опытное конструкторское бюро новатор,новатор (опытное-конструкторское бюро 'новатор'),акционерное общество «опытное конструкторское бюро «новатор»,опытное- конструкторское бюро ‘новатор’,"акционерное общество ""опытное конструкторское бюро ""новатор""","открытое акционерное общество ""опытное конструкторское бюро ""новатор""",опытное-конструкторское бюро “новатор”,,,,,,,,,,,,,,,,,
NK-W8Gh76HZRsHiVQXcJtngtW,Aktsionernoe Obshchestvo Petrovskii Elektromekhanicheskii Zavod Molot,Company,6444009038,6444009038,"акционерное общество ""петровский электромеханический завод ""молот"" and пэмз ""молот""",ао “петровский электромеханическ ий завод ‘молот’”,"акционерное общество ""петровский электромеханический завод ""молот""",ао “пэмз ‘молот’”,акционерное общество “петровский электромеханический завод ‘молот’”,ао “петровский электромеханический завод ‘молот’”,,,,,,,,,,,,,,,,,,
NK-PmTZE6RZeUgwUqjsE3i53n,JSC STC Promtekhaero,Company,7709827690,7709827690,"акционерное общество ""научно-технический центр промышленных технологий и аэронавигационных систем""",ао “нтц промтехаэро”,"ао ""нтц промтехаэро""",акционерное общество “научно-технический центр промышленных технологий и аэронавигационных систем”,акционерное общество «научно-технический центр промышленных технологий и аэронавигационных систем»,"акционерное общество ""научно - технический центр промышленных технологий и аэронавигационных систем""",,,,,,,,,,,,,,,,,,
NK-bMEwpp33FmY8jQKWQJfWne,Open Joint Stock Company Mariyskiy Machine-Building Plant,Company,1200001885,1200001885,открытое акционерное общество марийский машиностроительный завод,"акционерное общество ""марийский машиностроительный завод""",открытое акционерное общество “марийский машиностроительный завод”,акционерное общество «марийский машиностроительный завод»,открытое акционерное общество «марийский машиностроительный завод»,"открытое акционерное общество ""марийский машиностроительный завод""",,,,,,,,,,,,,,,,,,
NK-nzJ9VNoqPTBB9yaYb4YL93,JSC Kazan Experimental Design Bureau Soyuz,Company,1661008339,1661008339,открытое акционерное общество “казанское опытное конструкторское бюро ‘союз’”,открытое акционерное общество “казанское опытное конструкторское бюро “союз”,"акционерное общество ""казанское опытное конструкторское бюро ""союз""",открытое акционерное общество «казанское опытное конструкторское бюро «союз»,"оао ""казанское опытное конструкторское бюро ""союз""",акционерное общество «казанское опытное конструкторское бюро «союз»,,,,,,,,,,,,,,,,,,
NK-gTcJiynQi2UkbRQsDJ8NiF,Khrunichev State Research and Production Space Center,Company,,7730239877,ао “государственный космический научно- производственный центр имени м.в. хруничева”,государственный космический научно-производственный центр имени хруничева,"акционерное общество ""государственный космический научно-производственный центр имени м.в.хруничева""",ао «государственный космический научно-производственный центр имени м.в. хруничева»,космический центр имени хруничева,"акционерное общество ""государственный космический научно-производственный центр имени м.в. хруничева""",государственный космический научно- производственный центр имени хруничева,,,,,,,,,,,,,,,,,
NK-CcNpyR9knEtxZ9LNx9S5Tx,Far Eastern Bank,Company,2540016961,2540016961,"акционерное общество ""дальневосточный банк""","публичное акционерное общество ""дальневосточный банк""",ао ‘дальневосточный банк’,дальневосточный банк,"оао ""дальневосточный банк""",ао «дальневосточный банк»,,,,,,,,,,,,,,,,,,
NK-LhzTPK5AWaSeCdw4cDgKs9,JSC KAZAN HELICOPTER PLANT,Company,1656002652,1656002652,"оао ""казанский вертолетный завод""","публичное акционерное общество ""казанский вертолетный завод""","акционерное общество ""казанский вертолетный завод""",ао казанский вертолетный завод,"открытое акционерное общество ""казанский вертолетный завод""",открытое акционерное общество «казанский вертолетный завод»,,,,,,,,,,,,,,,,,,
NK-2DCEAruthso8ASC38S9bpP,Federal State Governmental Institution 27 Central Research Institute of the Ministry of Defense of the Russian Federation,Company,7714676767,7718014718,фгбу «27 цнии» минобороны россии,"федеральное государственное учреждение ""27 центральный научно-исследовательский институт министерства обороны российской федерации""",федеральное государственное бюджетное учреждение «27 центральный научно–исследовательский институт» министерства обороны российской федерации,"федеральное государственное бюджетное учреждение ""27 центральный научно-исследовательский институт"" министерства обороны российской федерации","федеральное государственное казенное учреждение ""27 центральный научно-исследовательский институт"" министерства обороны российской федерации",федеральное государственное бюджетное учреждение «27 центральный научно-исследовательский институт» министерства обороны российской федерации,,,,,,,,,,,,,,,,,,
NK-SY3PwSU7w3kDNRZzbikm5L,Aktsionernoe Obshchestvo Saratovski Radiopribornyi Zavod,Company,6453104288,6453044367,ao “саратовский радиоприборный завод”,"открытое акционерное общество ""саратовский радиоприборный завод""",aкционерное oбщество “cаратовский радиоприборный завод”,aкционерное общество “cаратовский радиоприборный завод”,aкционерное oбщество “cаратовский радиоприборный завод,"акционерное общество ""саратовский радиоприборный завод""",,,,,,,,,,,,,,,,,,
NK-gifk8Szy8qbVsYbAB6RTLR,Joint Stock Company Arzamassky Priborostroitelny Zavod Imeni Plandina,Company,5243001742,5243001742,"акционерное общество ""арзамасский приборостроительный завод имени п.и. пландина""","открытое акционерное общество ""арзамасский приборостроительный завод имени п.и.пландина""","открытое акционерное общество ""арзамасский приборостроительный завод""","открытое акционерное общество ""арзамасский приборостроительный завод имени п.и. пландина""",аo арзамасский приборостроительный завод имени п. и. пландина,"акционерное общество ""арзамасский приборостроительный завод имени п.и.пландина""",,,,,,,,,,,,,,,,,,
NK-grxnwLbi4mvsLrg9gJzzjy,Joint Stock Company the 224th Flight Unit State Airlines,Company,7718763393,7718763393,открытое акционерное общество “государственная авиакомпания “224 лётный отряд”“,открытое акционерное общество «государственная авиакомпания «224 летный отряд»,открытое акционерное общество “государственная авиакомпания ‘224 лётный отряд’”,"открытое акционерное общество ""государственная авиакомпания ""224 летный отряд""",оао государственная авиакомпания 224 летный отряд,открытое акционерное общество «государственная авиакомпания „224 лётный отряд“»,,,,,,,,,,,,,,,,,,
NK-cbp4EKkuLWeVawpn8zywtm,JSC Beto,Company,0274068924,0274068924,акционерное общество “бэто”,ао “бэто”,башкирское электронно-телекомму-никационное объединение,"акционерное общество ""бэто""",башкирское электронно- телекомму-никационное объединение,"открытое акционерное общество ""бэто""",,,,,,,,,,,,,,,,,,
NK-b5ULnm29K7BgfFYQ3GAs6L,33rd Scientific Research and Testing Institute,Company,,5042129453,фгбу «33 цниии» минобороны россии,федеральное государственное бюджетное учреждение «33 центральный научно–исследовательский испытательный институт» министерства обороны российской федерации,федеральное государственное бюджетное учреждение «33 центральный научно-исследовательский испытательный институт» министерства обороны российской федерации,"федеральное государственное бюджетное учреждение ""33 центральный научно-исследовательский испытательный институт"" министерства обороны российской федерации","федеральное государственное учреждение ""33 центральный научно-исследовательский испытательный институт министерства обороны российской федерации""","федеральное государственное казенное учреждение ""33 центральный научно-исследовательский испытательный институт"" министерства обороны российской федерации",,,,,,,,,,,,,,,,,,
NK-jPG8tPZDw8M8UAuxVsU6mk,Russian Institute of Radio Navigation and Time,Company,7825507108,7825507108,"акционерное общество ""российский институт радионавигации и времени""","открытое акционерное общество ""российский институт радионавигации и времени""","акционерное общество “российский институт радионавигации и времени""",ао «российский институт радионавигации и времени»,акционерное общество “российский институт радионавигации и времени”,,,,,,,,,,,,,,,,,,,
NK-YJBsqcDu4CjcYC5gKLTJr4,All-Russian Research Institute Of Radio Engineering,Company,7701315700,7701315700,всероссийский нии радиотехники,"открытое акционерное общество ""всероссийский научно-исследовательский институт радиотехники""","акционерное общество ""всероссийский научно-исследовательский институт радиотехники""",открытое акционерное общество “всероссийский научно-исследовательский институт радиотехники”,ао «всероссийский научноисследовательский институт радиотехники»,,,,,,,,,,,,,,,,,,,
NK-DrPgwpnakk52JeAGEhL5Pv,NPK Tekhmash OAO,Company,7743813961,7743813961,холдинговая компания ао “научно-производственный концерн “технологии машиностроения”“,холдинговая компания ао “научно-производственный концерн ‘технологии машиностроения’”,"акционерное общество ""научно-производственный концерн ""технологии машиностроения""","открытое акционерное общество ""научно-производственный концерн ""технологии машиностроения""",холдинговая компания ао “научно-производственный концерн “технологии машиностроения””,,,,,,,,,,,,,,,,,,,
NK-XoW48bstBDh5cyDzwcd6vx,Joint Stock Company “Repair Base for Repair of Aircraft Instruments and Aerodrome Equipment”,Company,5027030107,5027030107,акционерное общество “ремонтная база по ремонту авиационных приборов и аэродромной техники”,"акционерное общество ""ремонтная база по ремонту авиационных приборов и аэродромной техники""","акционерное общество (aо) ""ремонтная база по ремонту авиационных приборов и аэродромной техники""","открытое акционерное общество научно-производственное предприятие ""звезда""","открытое акционерное общество ""научно-производственное предприятие ""звезда""",,,,,,,,,,,,,,,,,,,
